setting ^expname=bsuite_id_-_catch-0
setting ^_ignored=['bsuite_id', 'catch/1']
I0611 18:42:02.224592 140460781987648 tpu_client.py:54] Starting the local TPU driver.
I0611 18:42:02.225389 140460781987648 xla_bridge.py:212] Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
I0611 18:42:02.227758 140460781987648 xla_bridge.py:212] Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
I0611 18:42:02.228246 140460781987648 xla_bridge.py:212] Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
W0611 18:42:02.228533 140460781987648 xla_bridge.py:215] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 18:42:05.801001 140460781987648 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 16.0000 | total_return = -6.0000
I0611 18:42:05.801001 140460781987648 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 16.0000 | total_return = -6.0000
I0611 18:42:05.821205 140460781987648 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 18.0000 | total_return = -7.0000
I0611 18:42:05.821205 140460781987648 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 18.0000 | total_return = -7.0000
I0611 18:42:06.603737 140460781987648 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 20.0000 | total_return = -8.0000
I0611 18:42:06.603737 140460781987648 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 20.0000 | total_return = -8.0000
I0611 18:42:06.647840 140460781987648 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 22.0000 | total_return = -9.0000
I0611 18:42:06.647840 140460781987648 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 22.0000 | total_return = -9.0000
I0611 18:42:06.688367 140460781987648 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 24.0000 | total_return = -10.0000
I0611 18:42:06.688367 140460781987648 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 24.0000 | total_return = -10.0000
