setting ^dummy=dummy
setting ^_ignored=[]
W0611 11:06:13.008424 139971477354304 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 11:06:16.451145 139971477354304 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 30.0000 | total_return = -12.0000
I0611 11:06:16.487062 139971477354304 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 32.0000 | total_return = -13.0000
I0611 11:06:16.487062 139971477354304 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 32.0000 | total_return = -13.0000
I0611 11:06:16.538111 139971477354304 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 34.0000 | total_return = -14.0000
I0611 11:06:16.538111 139971477354304 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 34.0000 | total_return = -14.0000
I0611 11:06:16.579665 139971477354304 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = 1.0000 | steps = 189 | total_regret = 34.0000 | total_return = -13.0000
I0611 11:06:16.579665 139971477354304 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = 1.0000 | steps = 189 | total_regret = 34.0000 | total_return = -13.0000
I0611 11:06:16.616541 139971477354304 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 36.0000 | total_return = -14.0000
I0611 11:06:16.616541 139971477354304 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 36.0000 | total_return = -14.0000
I0611 11:06:16.652370 139971477354304 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 38.0000 | total_return = -15.0000
I0611 11:06:16.652370 139971477354304 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 38.0000 | total_return = -15.0000
I0611 11:06:16.689213 139971477354304 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 40.0000 | total_return = -16.0000
I0611 11:06:16.689213 139971477354304 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 40.0000 | total_return = -16.0000
I0611 11:06:16.726008 139971477354304 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = -1.0000 | steps = 225 | total_regret = 42.0000 | total_return = -17.0000
I0611 11:06:16.726008 139971477354304 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = -1.0000 | steps = 225 | total_regret = 42.0000 | total_return = -17.0000
I0611 11:06:16.771816 139971477354304 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 44.0000 | total_return = -18.0000
I0611 11:06:16.771816 139971477354304 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 44.0000 | total_return = -18.0000
I0611 11:06:16.807986 139971477354304 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 46.0000 | total_return = -19.0000
I0611 11:06:16.807986 139971477354304 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 46.0000 | total_return = -19.0000
I0611 11:06:16.843470 139971477354304 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = -1.0000 | steps = 252 | total_regret = 48.0000 | total_return = -20.0000
I0611 11:06:16.843470 139971477354304 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = -1.0000 | steps = 252 | total_regret = 48.0000 | total_return = -20.0000
I0611 11:06:16.879593 139971477354304 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = -1.0000 | steps = 261 | total_regret = 50.0000 | total_return = -21.0000
I0611 11:06:16.879593 139971477354304 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = -1.0000 | steps = 261 | total_regret = 50.0000 | total_return = -21.0000
I0611 11:06:16.920681 139971477354304 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = -1.0000 | steps = 270 | total_regret = 52.0000 | total_return = -22.0000
I0611 11:06:16.920681 139971477354304 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = -1.0000 | steps = 270 | total_regret = 52.0000 | total_return = -22.0000
I0611 11:06:16.959661 139971477354304 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = -1.0000 | steps = 279 | total_regret = 54.0000 | total_return = -23.0000
I0611 11:06:16.959661 139971477354304 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = -1.0000 | steps = 279 | total_regret = 54.0000 | total_return = -23.0000
I0611 11:06:17.023329 139971477354304 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = -1.0000 | steps = 288 | total_regret = 56.0000 | total_return = -24.0000
I0611 11:06:17.023329 139971477354304 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = -1.0000 | steps = 288 | total_regret = 56.0000 | total_return = -24.0000
I0611 11:06:17.103312 139971477354304 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = 1.0000 | steps = 297 | total_regret = 56.0000 | total_return = -23.0000
I0611 11:06:17.103312 139971477354304 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = 1.0000 | steps = 297 | total_regret = 56.0000 | total_return = -23.0000
I0611 11:06:17.158533 139971477354304 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 58.0000 | total_return = -24.0000
I0611 11:06:17.158533 139971477354304 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 58.0000 | total_return = -24.0000
I0611 11:06:17.224120 139971477354304 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = -1.0000 | steps = 315 | total_regret = 60.0000 | total_return = -25.0000
I0611 11:06:17.224120 139971477354304 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = -1.0000 | steps = 315 | total_regret = 60.0000 | total_return = -25.0000
I0611 11:06:17.269686 139971477354304 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 62.0000 | total_return = -26.0000
I0611 11:06:17.269686 139971477354304 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 62.0000 | total_return = -26.0000
I0611 11:06:17.316899 139971477354304 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 64.0000 | total_return = -27.0000
I0611 11:06:17.316899 139971477354304 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 64.0000 | total_return = -27.0000
I0611 11:06:17.367894 139971477354304 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = 1.0000 | steps = 342 | total_regret = 64.0000 | total_return = -26.0000
I0611 11:06:17.367894 139971477354304 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = 1.0000 | steps = 342 | total_regret = 64.0000 | total_return = -26.0000
I0611 11:06:17.410482 139971477354304 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = 1.0000 | steps = 351 | total_regret = 64.0000 | total_return = -25.0000
I0611 11:06:17.410482 139971477354304 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = 1.0000 | steps = 351 | total_regret = 64.0000 | total_return = -25.0000
I0611 11:06:17.453629 139971477354304 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = -1.0000 | steps = 360 | total_regret = 66.0000 | total_return = -26.0000
I0611 11:06:17.453629 139971477354304 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = -1.0000 | steps = 360 | total_regret = 66.0000 | total_return = -26.0000
I0611 11:06:17.491177 139971477354304 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = 1.0000 | steps = 369 | total_regret = 66.0000 | total_return = -25.0000
I0611 11:06:17.491177 139971477354304 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = 1.0000 | steps = 369 | total_regret = 66.0000 | total_return = -25.0000
I0611 11:06:17.530179 139971477354304 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = -1.0000 | steps = 378 | total_regret = 68.0000 | total_return = -26.0000
I0611 11:06:17.530179 139971477354304 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = -1.0000 | steps = 378 | total_regret = 68.0000 | total_return = -26.0000
I0611 11:06:17.564445 139971477354304 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = 1.0000 | steps = 387 | total_regret = 68.0000 | total_return = -25.0000
I0611 11:06:17.564445 139971477354304 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = 1.0000 | steps = 387 | total_regret = 68.0000 | total_return = -25.0000
I0611 11:06:17.623499 139971477354304 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = -1.0000 | steps = 396 | total_regret = 70.0000 | total_return = -26.0000
I0611 11:06:17.623499 139971477354304 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = -1.0000 | steps = 396 | total_regret = 70.0000 | total_return = -26.0000
I0611 11:06:17.675626 139971477354304 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = 1.0000 | steps = 405 | total_regret = 70.0000 | total_return = -25.0000
I0611 11:06:17.675626 139971477354304 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = 1.0000 | steps = 405 | total_regret = 70.0000 | total_return = -25.0000
