setting ^dummy=dummy
setting ^_ignored=[]
W0611 11:10:46.920104 140718620706624 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 11:10:49.311566 140718620706624 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = 1.0000 | steps = 54 | total_regret = 10.0000 | total_return = -4.0000
I0611 11:10:49.333195 140718620706624 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = 1.0000 | steps = 63 | total_regret = 10.0000 | total_return = -3.0000
I0611 11:10:49.333195 140718620706624 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = 1.0000 | steps = 63 | total_regret = 10.0000 | total_return = -3.0000
I0611 11:10:49.361179 140718620706624 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 12.0000 | total_return = -4.0000
I0611 11:10:49.361179 140718620706624 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 12.0000 | total_return = -4.0000
I0611 11:10:49.383440 140718620706624 terminal_logging.py:55] episode = 9 | episode_len = 9 | episode_return = 1.0000 | steps = 81 | total_regret = 12.0000 | total_return = -3.0000
I0611 11:10:49.383440 140718620706624 terminal_logging.py:55] episode = 9 | episode_len = 9 | episode_return = 1.0000 | steps = 81 | total_regret = 12.0000 | total_return = -3.0000
I0611 11:10:49.432751 140718620706624 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 14.0000 | total_return = -4.0000
I0611 11:10:49.432751 140718620706624 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 14.0000 | total_return = -4.0000
I0611 11:10:49.450993 140718620706624 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 16.0000 | total_return = -5.0000
I0611 11:10:49.450993 140718620706624 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 16.0000 | total_return = -5.0000
