setting ^dummy=dummy
setting ^_ignored=[]
W0611 11:12:04.104435 140331324749632 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 11:12:06.402529 140331324749632 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 14.0000 | total_return = -3.0000
I0611 11:12:06.402529 140331324749632 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 14.0000 | total_return = -3.0000
I0611 11:12:07.089672 140331324749632 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = 1.0000 | steps = 108 | total_regret = 14.0000 | total_return = -2.0000
I0611 11:12:07.089672 140331324749632 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = 1.0000 | steps = 108 | total_regret = 14.0000 | total_return = -2.0000
I0611 11:12:07.135149 140331324749632 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 16.0000 | total_return = -3.0000
I0611 11:12:07.135149 140331324749632 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 16.0000 | total_return = -3.0000
I0611 11:12:07.170695 140331324749632 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 18.0000 | total_return = -4.0000
I0611 11:12:07.170695 140331324749632 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 18.0000 | total_return = -4.0000
I0611 11:12:07.205992 140331324749632 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = -1.0000 | steps = 135 | total_regret = 20.0000 | total_return = -5.0000
I0611 11:12:07.205992 140331324749632 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = -1.0000 | steps = 135 | total_regret = 20.0000 | total_return = -5.0000
I0611 11:12:07.241349 140331324749632 terminal_logging.py:55] episode = 16 | episode_len = 9 | episode_return = -1.0000 | steps = 144 | total_regret = 22.0000 | total_return = -6.0000
I0611 11:12:07.241349 140331324749632 terminal_logging.py:55] episode = 16 | episode_len = 9 | episode_return = -1.0000 | steps = 144 | total_regret = 22.0000 | total_return = -6.0000
I0611 11:12:07.277427 140331324749632 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = -1.0000 | steps = 153 | total_regret = 24.0000 | total_return = -7.0000
I0611 11:12:07.277427 140331324749632 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = -1.0000 | steps = 153 | total_regret = 24.0000 | total_return = -7.0000
I0611 11:12:07.316600 140331324749632 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 26.0000 | total_return = -8.0000
I0611 11:12:07.316600 140331324749632 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 26.0000 | total_return = -8.0000
I0611 11:12:07.350575 140331324749632 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 28.0000 | total_return = -9.0000
I0611 11:12:07.350575 140331324749632 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 28.0000 | total_return = -9.0000
I0611 11:12:07.387226 140331324749632 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 30.0000 | total_return = -10.0000
I0611 11:12:07.387226 140331324749632 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 30.0000 | total_return = -10.0000
I0611 11:12:07.424716 140331324749632 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = 1.0000 | steps = 189 | total_regret = 30.0000 | total_return = -9.0000
I0611 11:12:07.424716 140331324749632 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = 1.0000 | steps = 189 | total_regret = 30.0000 | total_return = -9.0000
I0611 11:12:07.459861 140331324749632 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 32.0000 | total_return = -10.0000
I0611 11:12:07.459861 140331324749632 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 32.0000 | total_return = -10.0000
