setting ^bsuite_id=catch/1
setting ^save_path=/tmp/bsuite
setting ^logging_mode=buddy
setting ^overwrite=True
setting ^num_episodes=None
setting ^verbose=True
setting ^_ignored=[]
INFO:absl:Starting the local TPU driver.
INFO:absl:Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
INFO:absl:Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
INFO:absl:Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
WARNING:absl:No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
INFO:absl:episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 38.0000 | total_return = -18.0000
I0611 19:59:31.204072 140306405291840 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 38.0000 | total_return = -18.0000
INFO:absl:episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 40.0000 | total_return = -19.0000
I0611 19:59:31.251823 140306405291840 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 40.0000 | total_return = -19.0000
INFO:absl:episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 42.0000 | total_return = -20.0000
I0611 19:59:31.293244 140306405291840 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 42.0000 | total_return = -20.0000
INFO:absl:episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 44.0000 | total_return = -21.0000
I0611 19:59:31.337072 140306405291840 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 44.0000 | total_return = -21.0000
INFO:absl:episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 46.0000 | total_return = -22.0000
I0611 19:59:31.382576 140306405291840 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 46.0000 | total_return = -22.0000
INFO:absl:episode = 25 | episode_len = 9 | episode_return = 1.0000 | steps = 225 | total_regret = 46.0000 | total_return = -21.0000
I0611 19:59:31.428194 140306405291840 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = 1.0000 | steps = 225 | total_regret = 46.0000 | total_return = -21.0000
INFO:absl:episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 48.0000 | total_return = -22.0000
I0611 19:59:31.475149 140306405291840 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 48.0000 | total_return = -22.0000
INFO:absl:episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 50.0000 | total_return = -23.0000
I0611 19:59:31.519347 140306405291840 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 50.0000 | total_return = -23.0000
INFO:absl:episode = 28 | episode_len = 9 | episode_return = -1.0000 | steps = 252 | total_regret = 52.0000 | total_return = -24.0000
I0611 19:59:31.560564 140306405291840 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = -1.0000 | steps = 252 | total_regret = 52.0000 | total_return = -24.0000
INFO:absl:episode = 29 | episode_len = 9 | episode_return = 1.0000 | steps = 261 | total_regret = 52.0000 | total_return = -23.0000
I0611 19:59:31.601113 140306405291840 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = 1.0000 | steps = 261 | total_regret = 52.0000 | total_return = -23.0000
INFO:absl:episode = 30 | episode_len = 9 | episode_return = 1.0000 | steps = 270 | total_regret = 52.0000 | total_return = -22.0000
I0611 19:59:31.645305 140306405291840 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = 1.0000 | steps = 270 | total_regret = 52.0000 | total_return = -22.0000
INFO:absl:episode = 31 | episode_len = 9 | episode_return = -1.0000 | steps = 279 | total_regret = 54.0000 | total_return = -23.0000
I0611 19:59:31.715230 140306405291840 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = -1.0000 | steps = 279 | total_regret = 54.0000 | total_return = -23.0000
INFO:absl:episode = 32 | episode_len = 9 | episode_return = 1.0000 | steps = 288 | total_regret = 54.0000 | total_return = -22.0000
I0611 19:59:31.757664 140306405291840 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = 1.0000 | steps = 288 | total_regret = 54.0000 | total_return = -22.0000
INFO:absl:episode = 33 | episode_len = 9 | episode_return = -1.0000 | steps = 297 | total_regret = 56.0000 | total_return = -23.0000
I0611 19:59:31.799278 140306405291840 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = -1.0000 | steps = 297 | total_regret = 56.0000 | total_return = -23.0000
INFO:absl:episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 58.0000 | total_return = -24.0000
I0611 19:59:31.842222 140306405291840 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 58.0000 | total_return = -24.0000
INFO:absl:episode = 35 | episode_len = 9 | episode_return = -1.0000 | steps = 315 | total_regret = 60.0000 | total_return = -25.0000
I0611 19:59:31.883941 140306405291840 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = -1.0000 | steps = 315 | total_regret = 60.0000 | total_return = -25.0000
INFO:absl:episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 62.0000 | total_return = -26.0000
I0611 19:59:31.929048 140306405291840 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 62.0000 | total_return = -26.0000
INFO:absl:episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 64.0000 | total_return = -27.0000
I0611 19:59:31.969965 140306405291840 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 64.0000 | total_return = -27.0000
INFO:absl:episode = 38 | episode_len = 9 | episode_return = -1.0000 | steps = 342 | total_regret = 66.0000 | total_return = -28.0000
I0611 19:59:32.008514 140306405291840 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = -1.0000 | steps = 342 | total_regret = 66.0000 | total_return = -28.0000
INFO:absl:episode = 39 | episode_len = 9 | episode_return = -1.0000 | steps = 351 | total_regret = 68.0000 | total_return = -29.0000
I0611 19:59:32.048481 140306405291840 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = -1.0000 | steps = 351 | total_regret = 68.0000 | total_return = -29.0000
INFO:absl:episode = 40 | episode_len = 9 | episode_return = -1.0000 | steps = 360 | total_regret = 70.0000 | total_return = -30.0000
