setting ^expname=bsuite_id_-_catch-0
setting ^_ignored=[]
I0611 18:32:54.255663 140557911983936 tpu_client.py:54] Starting the local TPU driver.
I0611 18:32:54.274344 140557911983936 xla_bridge.py:212] Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
I0611 18:32:54.274902 140557911983936 xla_bridge.py:212] Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
I0611 18:32:54.275241 140557911983936 xla_bridge.py:212] Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
W0611 18:32:54.275457 140557911983936 xla_bridge.py:215] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 18:32:59.860827 140557911983936 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = -1.0000 | steps = 153 | total_regret = 34.0000 | total_return = -17.0000
I0611 18:32:59.860827 140557911983936 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = -1.0000 | steps = 153 | total_regret = 34.0000 | total_return = -17.0000
I0611 18:32:59.948297 140557911983936 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 36.0000 | total_return = -18.0000
I0611 18:32:59.948297 140557911983936 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 36.0000 | total_return = -18.0000
I0611 18:33:00.024503 140557911983936 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 38.0000 | total_return = -19.0000
I0611 18:33:00.024503 140557911983936 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 38.0000 | total_return = -19.0000
I0611 18:33:00.091876 140557911983936 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = 1.0000 | steps = 180 | total_regret = 38.0000 | total_return = -18.0000
I0611 18:33:00.091876 140557911983936 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = 1.0000 | steps = 180 | total_regret = 38.0000 | total_return = -18.0000
I0611 18:33:00.198158 140557911983936 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 40.0000 | total_return = -19.0000
I0611 18:33:00.198158 140557911983936 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 40.0000 | total_return = -19.0000
I0611 18:33:00.254308 140557911983936 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 42.0000 | total_return = -20.0000
I0611 18:33:00.254308 140557911983936 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 42.0000 | total_return = -20.0000
I0611 18:33:00.334782 140557911983936 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 44.0000 | total_return = -21.0000
I0611 18:33:00.334782 140557911983936 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 44.0000 | total_return = -21.0000
I0611 18:33:00.403964 140557911983936 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = 1.0000 | steps = 216 | total_regret = 44.0000 | total_return = -20.0000
I0611 18:33:00.403964 140557911983936 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = 1.0000 | steps = 216 | total_regret = 44.0000 | total_return = -20.0000
I0611 18:33:00.468451 140557911983936 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = 1.0000 | steps = 225 | total_regret = 44.0000 | total_return = -19.0000
I0611 18:33:00.468451 140557911983936 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = 1.0000 | steps = 225 | total_regret = 44.0000 | total_return = -19.0000
I0611 18:33:00.549467 140557911983936 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = 1.0000 | steps = 234 | total_regret = 44.0000 | total_return = -18.0000
I0611 18:33:00.549467 140557911983936 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = 1.0000 | steps = 234 | total_regret = 44.0000 | total_return = -18.0000
I0611 18:33:00.603875 140557911983936 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = 1.0000 | steps = 243 | total_regret = 44.0000 | total_return = -17.0000
